id,rota,lat long,local,telefone,operadores
atmlocal_001,Recanto Cardoso,"-3.127433, -52.270349","Estrada/Ramal Monte Santo, km 10, zona rural, Altamira–PA",(93) 99129-7207,Recanto do Cardoso
atmlocal_002,Xingu Praia Clube,"-3.227778, -52.222782","Rua Osterno Alençar Maia, 4500, Independente II, Altamira–PA",Não informado no cadastro,Xingu Praia Clube
atmlocal_003,Balneário Luiz do Pedral,"-3.210515, -52.253995","Margens do rio Xingu, Altamira–PA",(93) 8415-8401,Balneário Luiz do Pedral
atmlocal_004,Praia do Massanori,"-3.209937, -52.140318","Próximo à BR-230/Transamazônica, Altamira–PA",Não informado no cadastro,Visitação direta; quiosques locais
atmlocal_005,Ambé Floresta Park,"-3.123345, -52.172543",Altamira–PA,(91) 99232-6481,Ambé Floresta Park
atmlocal_006,Igarapé Panelas,"-3.236837, -52.247829","Ibiza, Altamira–PA",Não informado no cadastro,Visitação direta
atmlocal_007,Balneário e Pousada Queda d’Água,"-3.328750, -52.407121","Vicinal 7, Altamira–PA",(93) 99151-5709,Balneário e Pousada Queda d’Água
