id,rota,lat long,local,telefone,operadores
atmrota_001,Cachoeira da Planaltina,"-3.377206, -52.578634","Distrito de Castelo dos Sonhos, Altamira–PA",(93) 99147-1046,Xingu Adventure
atmrota_002,Lagoa da Borbulha,"-8.930008, -54.739509","Fazenda Borbulha, distrito de Cachoeira da Serra, Serra do Cachimbo, Altamira–PA",(93) 99147-1046,Xingu Adventure
atmrota_003,Trilha da Caverna da Pedra e Cachoeira Tatajuba,"-3.462506, -52.325808","Região da Tatajuba; acesso pela Estrada do Aeroporto, Altamira–PA",(93) 99147-1046,Xingu Adventure
atmrota_004,Rota do Cacau,"-3.346170, -52.514611","Circuito rural da BR-230: Altamira, Brasil Novo, Medicilândia, Anapu e Uruará",(93) 99147-1046 / (93) 99162-2391,Xingu Adventure; Viverde Amazônia
atmrota_005,Rota das Tartarugas,"-2.693056, -52.013889","Tabuleiro do Embaubal e RDS Vitória de Souzel, rio Xingu — Senador José Porfírio–PA",(93) 99147-1046,Xingu Adventure
atmrota_006,Remada Rio Xingu,"-3.210147, -52.209327","Rio Xingu, com saída pela Orla/Praia do Cais, Altamira–PA",(93) 99162-2391 / (93) 99147-1046,Viverde Amazônia; Xingu Adventure
