Município,"Fazenda, sítio ou empreendimento",Tipo,coordenadas,operadores
Altamira,Fazenda Abelha Cacau,Fazenda e chocolataria,"-3.271489822282183, -52.42506508666182",viverde turismo; xingu adventure
Anapu,Santa Amazônia,Agroindústria de chocolate,,viverde turismo; xingu adventure
Brasil Novo,Cacau Xingu,Propriedade rural e fábrica,"-3.294077841190583, -52.5754755327603",viverde turismo; xingu adventure
Brasil Novo,Kakao Blumenn,Sítio/fábrica de chocolate,"-3.3355309367384205, -52.681349320823706",viverde turismo; xingu adventure
Medicilândia,Sítio Ascurra / Ascurra Chocolate,Fazenda e fábrica,"-3.421976637489597, -52.705543290138735",viverde turismo; xingu adventure
Medicilândia,Sítio Lindo Dia / Sabor e Arte do Cacau,"Sítio, lavoura e fábrica artesanal","-3.4083420304225016, -52.768043474796656",viverde turismo; xingu adventure
Medicilândia,Cacauway / Coopatrans,Fábrica cooperativa; reúne produção de vários agricultores,"-3.447874889399451, -52.910518576645124",viverde turismo; xingu adventure
Uruará,Fazenda Panorama / Grupo Panorama (família Gutzeit),Fazenda e produção de derivados,"-3.5861889007439722, -53.413118930617685",viverde turismo; xingu adventure
